latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,source,product,acq_datetime,event_id
50.8083,31.3072,342.2,1.5,1.2,2001-04-03,09:41,Terra,MODIS,93,6.03,291.6,79.0,D,0.0,M-C61,archive,2001-04-03 09:41:00,0
50.8042,31.327,316.9,1.5,1.2,2001-04-03,09:41,Terra,MODIS,77,6.03,289.3,22.4,D,0.0,M-C61,archive,2001-04-03 09:41:00,0
50.8154,31.3052,324.5,1.5,1.2,2001-04-03,09:41,Terra,MODIS,83,6.03,291.0,35.5,D,0.0,M-C61,archive,2001-04-03 09:41:00,0
50.8114,31.325,327.3,1.5,1.2,2001-04-03,09:41,Terra,MODIS,85,6.03,290.2,41.1,D,0.0,M-C61,archive,2001-04-03 09:41:00,0
51.252,28.9876,301.4,1.2,1.1,2001-04-03,09:41,Terra,MODIS,46,6.03,290.4,3.5,D,0.0,M-C61,archive,2001-04-03 09:41:00,-1
51.2491,29.0038,321.0,1.2,1.1,2001-04-03,09:41,Terra,MODIS,81,6.03,291.8,22.2,D,0.0,M-C61,archive,2001-04-03 09:41:00,-1
50.8051,31.2999,312.7,1.5,1.2,2001-04-03,09:41,Terra,MODIS,58,6.03,290.4,16.0,D,0.0,M-C61,archive,2001-04-03 09:41:00,0
50.8011,31.3197,309.7,1.5,1.2,2001-04-03,09:41,Terra,MODIS,36,6.03,290.1,11.7,D,0.0,M-C61,archive,2001-04-03 09:41:00,0
51.129,29.5962,308.7,1.2,1.1,2001-04-03,09:41,Terra,MODIS,68,6.03,291.6,9.4,D,0.0,M-C61,archive,2001-04-03 09:41:00,-1
50.7556,31.1011,312.2,1.4,1.2,2001-04-03,09:41,Terra,MODIS,60,6.03,292.2,15.6,D,0.0,M-C61,archive,2001-04-03 09:41:00,-1
50.7521,31.0928,305.6,1.4,1.2,2001-04-03,09:41,Terra,MODIS,46,6.03,291.4,8.3,D,0.0,M-C61,archive,2001-04-03 09:41:00,-1
50.7482,31.1122,306.8,1.4,1.2,2001-04-03,09:41,Terra,MODIS,64,6.03,289.0,9.8,D,0.0,M-C61,archive,2001-04-03 09:41:00,-1
50.9989,29.3992,310.5,1.2,1.1,2001-04-03,09:41,Terra,MODIS,42,6.03,292.3,9.8,D,0.0,M-C61,archive,2001-04-03 09:41:00,-1
50.9957,29.416,316.8,1.2,1.1,2001-04-03,09:41,Terra,MODIS,77,6.03,292.5,16.7,D,0.0,M-C61,archive,2001-04-03 09:41:00,-1
50.9955,29.4102,323.2,1.2,1.1,2001-04-03,09:41,Terra,MODIS,82,6.03,293.0,24.6,D,0.0,M-C61,archive,2001-04-03 09:41:00,-1
51.0884,28.5713,303.3,1.1,1.1,2001-04-03,09:41,Terra,MODIS,56,6.03,292.6,3.9,D,0.0,M-C61,archive,2001-04-03 09:41:00,-1
50.952,29.0237,316.9,1.2,1.1,2001-04-03,09:41,Terra,MODIS,77,6.03,292.4,16.9,D,0.0,M-C61,archive,2001-04-03 09:41:00,-1
50.949,29.04,303.3,1.2,1.1,2001-04-03,09:41,Terra,MODIS,46,6.03,291.9,4.4,D,0.0,M-C61,archive,2001-04-03 09:41:00,-1
50.9928,28.7449,304.9,1.2,1.1,2001-04-03,09:41,Terra,MODIS,60,6.03,293.1,5.4,D,0.0,M-C61,archive,2001-04-03 09:41:00,-1
51.3705,31.3405,302.4,1.6,1.3,2001-04-04,08:45,Terra,MODIS,46,6.03,290.6,6.3,D,0.0,M-C61,archive,2001-04-04 08:45:00,-1
51.0485,28.8733,303.6,2.1,1.4,2001-04-04,08:46,Terra,MODIS,56,6.03,290.7,12.8,D,0.0,M-C61,archive,2001-04-04 08:46:00,-1
51.0357,28.8715,306.1,2.1,1.4,2001-04-04,08:46,Terra,MODIS,63,6.03,290.2,17.5,D,0.0,M-C61,archive,2001-04-04 08:46:00,-1
51.0374,28.6213,309.8,2.2,1.4,2001-04-04,08:46,Terra,MODIS,69,6.03,291.5,25.7,D,0.0,M-C61,archive,2001-04-04 08:46:00,-1
51.0356,28.6528,308.1,2.2,1.4,2001-04-04,08:46,Terra,MODIS,67,6.03,290.5,21.9,D,0.0,M-C61,archive,2001-04-04 08:46:00,-1
