latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,source,product,acq_datetime
55.152,60.8527,312.0,1.8,1.3,2001-04-19,08:00,Terra,MODIS,72,6.03,294.5,21.2,D,0,M-C61,archive,2001-04-19 08:00:00
55.1461,60.8782,305.7,1.8,1.3,2001-04-19,08:00,Terra,MODIS,62,6.03,291.3,11.4,D,0,M-C61,archive,2001-04-19 08:00:00
55.189,60.4306,310.3,1.7,1.3,2001-04-19,08:00,Terra,MODIS,70,6.03,290.8,18.8,D,0,M-C61,archive,2001-04-19 08:00:00
55.1833,60.456,320.4,1.7,1.3,2001-04-19,08:00,Terra,MODIS,80,6.03,292.5,36.4,D,0,M-C61,archive,2001-04-19 08:00:00
55.0852,60.8293,314.5,1.8,1.3,2001-04-19,08:00,Terra,MODIS,75,6.03,293.8,23.8,D,0,M-C61,archive,2001-04-19 08:00:00
55.0791,60.8553,318.1,1.8,1.3,2001-04-19,08:00,Terra,MODIS,78,6.03,294.8,31.6,D,0,M-C61,archive,2001-04-19 08:00:00
55.0281,60.9097,307.0,1.8,1.3,2001-04-19,08:00,Terra,MODIS,65,6.03,292.1,12.2,D,0,M-C61,archive,2001-04-19 08:00:00
55.022,60.936,313.3,1.8,1.3,2001-04-19,08:00,Terra,MODIS,73,6.03,292.6,22.8,D,0,M-C61,archive,2001-04-19 08:00:00
54.8695,61.5209,309.0,1.9,1.4,2001-04-19,08:00,Terra,MODIS,64,6.03,294.2,16.2,D,0,M-C61,archive,2001-04-19 08:00:00
55.1453,60.1384,302.4,1.7,1.3,2001-04-19,08:00,Terra,MODIS,38,6.03,291.1,11.0,D,2,M-C61,archive,2001-04-19 08:00:00
54.9927,60.6974,306.3,1.8,1.3,2001-04-19,08:00,Terra,MODIS,63,6.03,294.7,11.0,D,0,M-C61,archive,2001-04-19 08:00:00
54.8261,59.9859,304.1,1.7,1.3,2001-04-19,08:01,Terra,MODIS,58,6.03,292.3,9.6,D,0,M-C61,archive,2001-04-19 08:01:00
54.7911,59.9829,303.9,1.7,1.3,2001-04-19,08:01,Terra,MODIS,57,6.03,291.9,9.6,D,0,M-C61,archive,2001-04-19 08:01:00
54.7856,60.0071,305.0,1.7,1.3,2001-04-19,08:01,Terra,MODIS,60,6.03,291.0,10.9,D,0,M-C61,archive,2001-04-19 08:01:00
55.2841,61.4515,308.4,1.1,1.0,2001-04-19,17:36,Terra,MODIS,75,6.03,276.4,14.3,N,2,M-C61,archive,2001-04-19 17:36:00
55.4164,61.3909,304.8,1.1,1.1,2001-04-20,07:05,Terra,MODIS,0,6.03,284.1,5.5,D,0,M-C61,archive,2001-04-20 07:05:00
55.4138,61.3841,303.9,1.1,1.1,2001-04-20,07:05,Terra,MODIS,54,6.03,285.0,5.7,D,0,M-C61,archive,2001-04-20 07:05:00
55.2835,61.4625,305.0,1.1,1.1,2001-04-20,07:05,Terra,MODIS,59,6.03,286.1,5.1,D,2,M-C61,archive,2001-04-20 07:05:00
55.2444,60.9015,305.4,1.2,1.1,2001-04-20,07:05,Terra,MODIS,58,6.03,279.8,7.8,D,0,M-C61,archive,2001-04-20 07:05:00
55.2235,60.8185,303.5,1.2,1.1,2001-04-20,07:05,Terra,MODIS,56,6.03,279.2,6.6,D,0,M-C61,archive,2001-04-20 07:05:00
55.208,60.8705,305.2,1.2,1.1,2001-04-20,07:05,Terra,MODIS,61,6.03,282.2,7.3,D,0,M-C61,archive,2001-04-20 07:05:00
55.1566,60.8658,308.0,1.2,1.1,2001-04-20,07:05,Terra,MODIS,66,6.03,285.1,8.9,D,0,M-C61,archive,2001-04-20 07:05:00
55.1714,60.4473,307.3,1.2,1.1,2001-04-20,07:05,Terra,MODIS,64,6.03,291.3,6.5,D,0,M-C61,archive,2001-04-20 07:05:00
55.0427,61.5313,305.2,1.1,1.1,2001-04-20,07:05,Terra,MODIS,41,6.03,289.3,4.7,D,0,M-C61,archive,2001-04-20 07:05:00
55.0407,61.5487,306.8,1.1,1.1,2001-04-20,07:05,Terra,MODIS,64,6.03,289.2,5.9,D,0,M-C61,archive,2001-04-20 07:05:00
55.146,60.4975,314.2,1.2,1.1,2001-04-20,07:05,Terra,MODIS,70,6.03,291.8,12.9,D,0,M-C61,archive,2001-04-20 07:05:00
55.0907,61.014,303.5,1.2,1.1,2001-04-20,07:05,Terra,MODIS,26,6.03,286.7,3.8,D,0,M-C61,archive,2001-04-20 07:05:00
55.0887,61.032,308.0,1.2,1.1,2001-04-20,07:05,Terra,MODIS,66,6.03,286.8,7.1,D,0,M-C61,archive,2001-04-20 07:05:00
55.1456,60.4914,310.9,1.2,1.1,2001-04-20,07:05,Terra,MODIS,55,6.03,292.1,9.7,D,0,M-C61,archive,2001-04-20 07:05:00
55.0867,61.0254,304.7,1.2,1.1,2001-04-20,07:05,Terra,MODIS,60,6.03,287.1,5.0,D,0,M-C61,archive,2001-04-20 07:05:00
55.0768,60.6628,309.0,1.2,1.1,2001-04-20,07:05,Terra,MODIS,68,6.03,291.9,7.3,D,0,M-C61,archive,2001-04-20 07:05:00
55.0748,60.6813,317.8,1.2,1.1,2001-04-20,07:05,Terra,MODIS,78,6.03,291.8,16.3,D,0,M-C61,archive,2001-04-20 07:05:00
54.969,60.8115,306.2,1.2,1.1,2001-04-20,07:05,Terra,MODIS,63,6.03,287.6,5.8,D,0,M-C61,archive,2001-04-20 07:05:00
54.9187,60.427,306.3,1.2,1.1,2001-04-20,07:05,Terra,MODIS,60,6.03,292.4,5.8,D,0,M-C61,archive,2001-04-20 07:05:00
54.8375,60.6998,306.3,1.2,1.1,2001-04-20,07:05,Terra,MODIS,28,6.03,289.4,5.9,D,0,M-C61,archive,2001-04-20 07:05:00
54.8279,60.6967,312.3,1.2,1.1,2001-04-20,07:05,Terra,MODIS,69,6.03,290.6,11.5,D,0,M-C61,archive,2001-04-20 07:05:00
54.8289,60.1207,326.9,1.2,1.1,2001-04-20,07:05,Terra,MODIS,85,6.03,292.7,32.3,D,0,M-C61,archive,2001-04-20 07:05:00
54.8269,60.14,309.6,1.2,1.1,2001-04-20,07:05,Terra,MODIS,67,6.03,290.4,10.2,D,0,M-C61,archive,2001-04-20 07:05:00
54.79,60.0043,308.7,1.2,1.1,2001-04-20,07:05,Terra,MODIS,66,6.03,291.6,8.8,D,0,M-C61,archive,2001-04-20 07:05:00
54.788,60.0234,312.0,1.2,1.1,2001-04-20,07:05,Terra,MODIS,72,6.03,290.7,12.3,D,0,M-C61,archive,2001-04-20 07:05:00
54.9289,60.9019,302.5,4.6,2.0,2001-04-21,06:10,Terra,MODIS,52,6.03,284.7,42.0,D,0,M-C61,archive,2001-04-21 06:10:00
54.9304,60.8931,303.8,4.6,2.0,2001-04-21,06:10,Terra,MODIS,54,6.03,284.4,49.5,D,0,M-C61,archive,2001-04-21 06:10:00
55.5891,61.5731,305.3,1.4,1.2,2001-04-21,07:48,Terra,MODIS,58,6.03,278.9,10.4,D,0,M-C61,archive,2001-04-21 07:48:00
55.448,61.5709,313.7,1.4,1.2,2001-04-21,07:48,Terra,MODIS,74,6.03,288.6,18.9,D,0,M-C61,archive,2001-04-21 07:48:00
55.4436,61.5918,301.7,1.4,1.2,2001-04-21,07:48,Terra,MODIS,46,6.03,287.0,5.8,D,0,M-C61,archive,2001-04-21 07:48:00
55.3617,61.4143,302.6,1.4,1.2,2001-04-21,07:48,Terra,MODIS,39,6.03,285.5,4.4,D,0,M-C61,archive,2001-04-21 07:48:00
55.3044,61.4423,320.9,1.4,1.2,2001-04-21,07:48,Terra,MODIS,80,6.03,293.9,24.9,D,0,M-C61,archive,2001-04-21 07:48:00
55.3001,61.4632,313.3,1.4,1.2,2001-04-21,07:48,Terra,MODIS,74,6.03,292.5,13.7,D,0,M-C61,archive,2001-04-21 07:48:00
55.2737,61.5895,305.0,1.4,1.2,2001-04-21,07:48,Terra,MODIS,58,6.03,291.8,6.1,D,0,M-C61,archive,2001-04-21 07:48:00
55.3169,60.9133,325.5,1.3,1.1,2001-04-21,07:48,Terra,MODIS,84,6.03,290.1,32.8,D,0,M-C61,archive,2001-04-21 07:48:00
55.3128,60.9334,304.6,1.3,1.1,2001-04-21,07:48,Terra,MODIS,45,6.03,286.1,5.4,D,0,M-C61,archive,2001-04-21 07:48:00
55.122,61.5812,302.4,1.4,1.2,2001-04-21,07:48,Terra,MODIS,52,6.03,286.4,4.8,D,2,M-C61,archive,2001-04-21 07:48:00
55.1175,61.6024,310.3,1.4,1.2,2001-04-21,07:48,Terra,MODIS,70,6.03,287.2,13.3,D,2,M-C61,archive,2001-04-21 07:48:00
55.124,61.6009,312.1,1.4,1.2,2001-04-21,07:48,Terra,MODIS,72,6.03,287.1,15.5,D,0,M-C61,archive,2001-04-21 07:48:00
